Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Рудько,Федір,Леонідович,чоловік,1991-01-02,Фольклорист,селище Сніжне,"проспект Рішельєвська, буд. 35, Херсон, 73731",579 68 85,liudmyla91@example.com
Демиденко,Богодар,Борисович,чоловік,2007-11-30,Агроном,селище Київ,"площа Каманіна, буд. 9 кв. 25, Кодима, 41190",+380 80 069-96-92,ivanchenkolevko@example.net
Масляк,Йосип,Євгенійович,чоловік,1982-04-23,Літературознавець,селище Старокостянтинів,"сквер Кифоренка Бориса, буд. 934 кв. 365, Костопіль, 69228",+380 85 995-14-33,baidakklavdiia@example.com
Лемешко,Мирослав,Гаврилович,чоловік,1949-10-05,Паралегал,хутір Марганець ,"узвіз Проектний 5-й, буд. 66 кв. 4, Шаргород, 95752",+380 60 463-31-06,lbairak@example.net
Сімашкевич,Мартин,Павлович,чоловік,1959-03-02,Електрик,село Луцьк,"площа 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 4, Костянтинівка, 74299",+380 (30) 642-66-01,dannachaika@example.org
Чуйко,Зорян,Климентович,чоловік,2008-01-13,Конструктор,хутір Новгород-Сіверський,"провулок Житомирський 4-й, буд. 76 кв. 766, Долина , 41798",+380 70 379-99-74,klavdiia31@example.com
Ващук,Микита,Андрійович,чоловік,1942-03-05,Гицель,селище Ромни,"сквер Гаванна, буд. 203 кв. 83, Узин, 53872",083 437 79 72,hennadii02@example.org
Чуприна,Ігор,Ігорович,чоловік,1944-07-02,Музикант,селище Світловодськ,"шосе Листяний, буд. 9 кв. 1, Березне, 88271",329 18 05,anitamatiash@example.net
Деркач,Максим,Русланович,чоловік,1961-10-11,Письменник,хутір Дубляни,"набережна Пiвденний, буд. 3, Ямпіль, 89586",945-31-19,nazar56@example.net
Андрієнко,Аркадій,Болеславович,чоловік,1942-11-04,Будник,село Антрацит ,"проспект Прокатна, буд. 92 кв. 070, Вугледар, 28070",+380 (89) 547-17-70,bazylevychles@example.com
Мамчур,Симон,Олексович,чоловік,1990-08-02,Флорист,селище Надвірна,"шосе Красних Зорь, буд. 8 кв. 592, Монастирище, 41545",013 191 76 36,larysamykhailiuk@example.com
Засенко,Антон,Віталійович,чоловік,2004-09-01,Золотар,селище Ніжин,"набережна Прохоровський, буд. 88 кв. 76, Жданівка, 23014",+380 71 588 33 33,odeineko@example.com
Деревʼянко,Болеслав,Дмитрович,чоловік,1972-05-19,Мовознавець,селище Новомиргород,"вулиця Офіцерський 1-й, буд. 93, Збараж, 32571",+380 (05) 552-82-92,maksymbevz@example.net
Яковенко,Юстим,Станіславович,чоловік,1954-09-25,Льотчик,місто Корсунь-Шевченківський,"шосе Приморський, буд. 03, Мена , 33586",+380 (85) 218-80-97,xbabenko@example.com
Атрощенко,Володимир,Орхипович,чоловік,1938-09-15,Гірник,місто Феодосія,"набережна Льва Симиренка, буд. 93, Миколаїв, 25335",913-25-63,serhiiveres@example.com
Андрійович,Остап,Омелянович,чоловік,2002-11-01,Музикант,місто Жовті Води,"шосе Промисловий, буд. 9, Переяслав, 48855",086 378 60 82,kilienko@example.org
Якименко,Алевтин,Ігнатович,чоловік,1998-08-26,Дипломат,село Бобринець,"сквер Дельфін, буд. 499 кв. 5, Дубляни, 62748",+380 73 112-89-80,bohodarieromenko@example.com
Андрійчук,Болеслав,Азарович,чоловік,1970-09-06,Детектив,село Сарни,"набережна Толбухіна, буд. 7, Буськ, 84452",099 683-56-05,mamchurveniiamyn@example.com
Ященко,Максим,Опанасович,чоловік,1954-12-27,Акушер,село Переяслав,"вулиця Чубаївський, буд. 664, Сніжне, 89923",+380 02 465-07-72,spas61@example.org
Оберемко,Роман,Бориславович,чоловік,1972-09-12,Будник,село Переяслав,"вулиця Овідіопольський, буд. 824 кв. 900, Теплодар, 15997",029 495 49 59,aaron91@example.com
Тарасенко,Кирило,Веніяминович,чоловік,1998-05-04,Професор,місто Кіцмань,"площа Орловський, буд. 5, Монастириська, 85205",368-83-86,havryletsanita@example.org
Бабенко,Демид,Августинович,чоловік,1982-01-28,Живописець,місто Сміла,"проспект Лінія 44-та, буд. 5 кв. 4, Заставна, 88152",739-18-69,valentyna60@example.net
Дробаха,Геннадій,Миколайович,чоловік,1998-11-12,Льотчик,хутір Красноперекопськ,"площа Чехова, буд. 85 кв. 51, Ржищів, 91819",355 59 78,eibozhenkoorkhyp@example.net
Хоменко,Борис,Мартинович,чоловік,1964-08-06,Візажист,хутір Перевальськ,"площа Старокінний, буд. 61 кв. 551, Володимир-Волинський, 96768",+380 81 130 45 54,lemeshkoedyta@example.com
Сомко,Владислав,Азарович,чоловік,1955-04-09,Ботанік,село Баранівка,"шосе Юрія Олеші, буд. 8, Щолкіне, 90844",+380 44 288-22-74,baturynetsviktoriia@example.org
Петренко,Ярослав,Святославович,чоловік,1988-08-14,Єгер,місто Селидове,"узвіз Мічуріна, буд. 425 кв. 076, Мерефа, 21901",724 64 37,trokhymmalyk@example.com
Франчук,Яків,Вʼячеславович,чоловік,2007-03-06,Філолог,місто Костопіль,"парк Вертелецького, буд. 2, Пирятин, 25696",+380 00 534-32-08,shmorhunanzhela@example.com
Аронець,Аарон,Сергійович,чоловік,1957-11-22,Модельєр,хутір Очаків,"шосе Аеропортівський 2-й, буд. 49, Семенівка, 19312",+380 95 916-40-66,udzhun@example.net
Охріменко,Онисим,Остапович,чоловік,1972-06-16,Продюсер,селище Волочиськ,"шосе Ільфа і Петрова, буд. 085 кв. 04, Дергачі, 70042",+380 40 530-14-43,rebrykieva@example.org
Приймак,Левко,Венедиктович,чоловік,1976-12-06,Історик,селище Волочиськ,"шосе Новомосковська дорога, буд. 8, Бобринець, 01967",025 854 33 47,griabovil@example.org
Чуприна,Лесь,Аркадійович,чоловік,1952-07-25,Стиліст,хутір Тетіїв,"провулок Карантинний узвіз, буд. 0, Бібрка, 10976",+380 81 275 56 83,mmazur@example.net
Гавриш,Роман,Давидович,чоловік,2003-03-24,Продюсер,місто Гребінка,"вулиця Івана Франка, буд. 261 кв. 1, Трускавець, 14964",+380 36 986-18-26,ada81@example.org
Кибкало,Адам,Ігорович,чоловік,1984-05-10,Ґрунтознавець,село Хрустальний,"узвіз Шухевича Романа, буд. 6, Лиман , 44914",+380 (51) 591-76-93,barabashirena@example.com
Кабаненко,Юстим,Васильович,чоловік,1951-11-23,Етнограф,хутір Тлумач,"набережна Лінія 24-та, буд. 1 кв. 474, Луцьк, 26349",+380 51 202-17-07,wmatviienko@example.com
Верхола,Миколай,Максимович,чоловік,1973-03-03,Петрограф,хутір Ічня,"парк 6-та Суворовська, буд. 06, Южне, 07880",+380 (98) 639-77-68,ihorivasiuk@example.com
Карпенко,Соломон,Зиновійович,чоловік,1965-12-23,Геолог,хутір Боярка,"парк 15-та Суворовська, буд. 713, Збараж, 61391",+380 (00) 923-50-85,semenverkhovynets@example.com
